Codi d'Informació,Unitat,Adreça,Codi postal,Municipi,Codi municipi,Utm_x,Utm_y,Latitud,Longitud,Georeferència
17895,Policia Local de la Sénia,"Av. de la Generalitat, 2",43560,La Sénia,430445,270358.2798688064,4501989.387995089,40.636837359,0.284477527,POINT (0.284477527 40.636837359)
17892,Policia Local de Santa Susanna,"Pl. de Catalunya, s/n",08398,Santa Susanna,82613,475638.5246969058,4609344.174873585,41.635458254,2.707505502,POINT (2.707505502 41.635458254)
17911,Policia Local de Torrelles de Llobregat,"Av. de Dolça de Provença, 20, nau 1",08629,Torrelles de Llobregat,82896,415278.401,4579402.262,41.361672105,1.98707675,POINT (1.98707675 41.361672105)
17756,Policia Local de Camarles,"C. Vint, 22",43894,Camarles,439039,303415.2616326818,4516027.11193916,40.771775222,0.670609535,POINT (0.670609535 40.771775222)
17763,Policia Local de Cassà de la Selva,"Rbla. de l' Onze de Setembre, 107",17244,Cassà de la Selva,170448,489610.26628251775,4637011.127758342,41.884959575,2.874772137,POINT (2.874772137 41.884959575)
17805,Policia Local de Manresa,"C. del Bruc, 33-35",08241,Manresa,81136,401712.6027401086,4619711.1908610165,41.723131655,1.818324986,POINT (1.818324986 41.723131655)
17823,Policia Local d'Olesa de Montserrat,"C.  d' Anselm Clavé, 189",08640,Olesa de Montserrat,81477,407563.0830843196,4599846.122671075,41.544921624,1.891692711,POINT (1.891692711 41.544921624)
17754,Policia Local de Calella,"Av. del Parc, 23-28",08370,Calella,80351,471735.87955774757,4607355.593401819,41.617418127,2.660743281,POINT (2.660743281 41.617418127)
17792,Policia Local d'Hostalric,"C. del Ravalet, s/n",17450,Hostalric,170834,470631.38909894327,4621491.13169827,41.744755218,2.64699782,POINT (2.64699782 41.744755218)
17873,Policia Local de Sant Joan de Vilatorrada,"C. Sant Mateu, 24",08250,Sant Joan de Vilatorrada,82188,400688.1777562825,4622426.765844156,41.748573694,1.806720775,POINT (1.806720775 41.748573694)
20394,Policia Local de Martorelles,"Av. de Piera, 51",08107,Martorelles,81154,436165.48,4597592.049,41.527429741,2.23485357,POINT (2.23485357 41.527429741)
17830,Policia Local de la Palma de Cervelló,"C. de Sant Cristòfol, s/n",08756,La Palma de Cervelló,89058,414008.59168395796,4584901.357594916,41.411063316,1.97111684,POINT (1.97111684 41.411063316)
17778,Policia Local de Deltebre,"Av. de Catalunya, 9",43580,Deltebre,439018,307705.0640023254,4510191.028341796,40.720204592,0.723229693,POINT (0.723229693 40.720204592)
17722,Policia Local d'Almacelles,"Pl. de la Vila, 1",25100,Almacelles,250194,286847.56966534344,4623139.850717208,41.731497714,0.437088113,POINT (0.437088113 41.731497714)
17897,Policia Local de la Seu d'Urgell,"Pl. dels Oms, 1",25700,La Seu d'Urgell,252038,373371.7883351267,4690687.6929412475,42.35815243,1.462363982,POINT (1.462363982 42.35815243)
17752,Policia Local de Caldes de Montbui,"C. de Santa Teresa, 17",08140,Caldes de Montbui,80333,430416.4504127411,4608926.295348917,41.628944622,2.164623371,POINT (2.164623371 41.628944622)
17923,Policia Local de Viladecans,"Ctra. del Prat, 32",08840,Viladecans,83015,418486.4371118213,4574421.682371226,41.317144662,2.026040639,POINT (2.026040639 41.317144662)
17776,Policia Local de Cubelles,"C. d' Arles de Tec, s/n",08880,Cubelles,80749,389335.6754532184,4562630.934272418,41.206983574,1.680488322,POINT (1.680488322 41.206983574)
17802,Policia Local de Lloret de Mar,"Av. de les Alegries, 32, (Policia Local - Protecció Civil)",17310,Lloret de Mar,170950,486251.00122844,4616734.955810108,41.704084863,2.835949991,POINT (2.835949991 41.704084863)
17740,Policia Local de Begues,"Camí   Ral, 35",08859,Begues,80207,409460.6533451749,4576164.962557335,41.331883521,1.918014659,POINT (1.918014659 41.331883521)
17836,Policia Local de Polinyà,"Pl. de la Vila, 1",08213,Polinyà,81672,429640.80700311967,4600991.28193147,41.557497722,2.156256067,POINT (2.156256067 41.557497722)
17718,Policia Local d'Agramunt,"Pl. de l' Església, 1",25310,Agramunt,250030,342026.0972300658,4627886.394408399,41.787059,1.098879,POINT (1.098879 41.787059)
17751,Policia Local de Caldes de Malavella,"Pl. de l' Ajuntament, 8",17455,Caldes de Malavella,170335,484202.7671102954,4631899.007861865,41.838825996,2.809732179,POINT (2.809732179 41.838825996)
17799,Policia Local de Lliçà d'Amunt,"C. de Rafel Casanova, 8",08186,Lliçà d'Amunt,81075,436687.3495450638,4606476.1859696545,41.607486662,2.240171404,POINT (2.240171404 41.607486662)
17877,Policia Local de Sant Pol de Mar,"Pl. de la Vila, 1",08395,Sant Pol de Mar,82359,468444.23701708345,4605452.834427123,41.600156431,2.621334427,POINT (2.621334427 41.600156431)
17862,Policia Local de Sant Celoni,"C. de Santa Fe, 52",08470,Sant Celoni,82021,457736.6843915127,4615597.880399999,41.691036573,2.492132184,POINT (2.492132184 41.691036573)
17860,Policia Local la Ràpita,"Pl. de Carles III, 13",43540,La Ràpita,431362,296366.04238488036,4499378.909613414,40.620161896,0.592590048,POINT (0.592590048 40.620161896)
17882,Policia Local de Sant Vicenç dels Horts,"C.   Nou, 132",08620,Sant Vicenç dels Horts,82634,417553.01689640054,4582359.955761275,41.388546152,2.013865643,POINT (2.013865643 41.388546152)
17790,Guàrdia Urbana de l'Hospitalet de Llobregat,"C. del Migdia, 5-7",08901,L'Hospitalet de Llobregat,81017,425381.39415686205,4579213.094484358,41.360965433,2.107797881,POINT (2.107797881 41.360965433)
17766,Policia Local de Castelldefels,"Pl. de l' Esperanto, 4",08860,Castelldefels,80569,414785.85225822305,4570584.311499912,41.282223677,1.982408953,POINT (1.982408953 41.282223677)
17827,Policia Local de Palamós,"C. de Josep Joan, 37",17230,Palamós,171181,510724.9358825767,4633434.637005358,41.85274218,3.129203182,POINT (3.129203182 41.85274218)
17902,Guàrdia Urbana de Tarragona,"C. de l' Arquebisbe Pont i Gol, 8",43005,Tarragona,431482,351936.4127343174,4554099.275812224,41.124717273,1.236177115,POINT (1.236177115 41.124717273)
17811,Policia Local de Moià,"C. de les Joies, 32, baixos",08180,Moià,81385,425008.67119135335,4629376.067086396,41.812714374,2.09714895,POINT (2.09714895 41.812714374)
17896,Policia Local de Sentmenat,"Pg. Anselm Clavé, 24",08181,Sentmenat,82671,427915.082,4606828.626,41.609916863,2.134861988,POINT (2.134861988 41.609916863)
17912,Policia Local de Torroella de Montgrí,"Ctra. de Torroella de Montgrí a l'Estartit (GI-641), 104",17258,Torroella de Montgrí,171997,515902.1236377338,4655408.666792476,42.052406863,3.19338096,POINT (3.19338096 42.052406863)
